Tempo (s),Accelerazione (m/s²),Velocita (m/s),Distanza (m)
0.0,1.5,0.0,0.0
0.20066889632107024,1.5,0.3010033444816054,0.06040200892607466
0.4013377926421405,1.5,0.6020066889632107,0.18120602677822398
0.6020066889632107,1.5,0.9030100334448161,0.362412053556448
0.802675585284281,1.5,1.2040133779264215,0.6040200892607466
1.0033444816053512,1.5,1.5050167224080269,0.9060301338911199
1.2040133779264215,1.5,1.8060200668896322,1.268442187447568
1.4046822742474916,1.5,2.1070234113712374,1.6912562499300903
1.605351170568562,1.5,2.408026755852843,2.174472321338688
1.8060200668896322,1.5,2.7090301003344486,2.71809040167336
2.0066889632107023,1.5,3.0100334448160537,3.322110490934106
2.2073578595317724,1.5,3.311036789297659,3.9865325891209267
2.408026755852843,1.5,3.6120401337792645,4.711356696233824
2.608695652173913,1.5,3.9130434782608696,5.496582812272794
2.809364548494983,1.5,4.214046822742475,6.342210937237839
3.0100334448160537,1.5,4.51505016722408,7.248241071128961
3.210702341137124,1.5,4.816053511705686,8.214673213946154
3.411371237458194,1.5,5.117056856187292,9.241507365689422
3.6120401337792645,1.5,5.418060200668897,10.328743526358767
3.8127090301003346,1.5,5.719063545150503,11.476381695954185
4.013377926421405,1.5,6.020066889632108,12.684421874475678
4.214046822742475,1.5,6.321070234113714,13.952864061923245
4.414715719063545,1.5,6.6220735785953195,15.281708258296888
4.615384615384616,1.5,6.923076923076926,16.670954463596612
4.816053511705686,1.5,7.224080267558531,18.120602677822404
5.016722408026756,1.5,7.525083612040136,19.63065290097427
5.217391304347826,1.5,7.826086956521742,21.20110513305221
5.418060200668896,1.5,8.127090301003348,22.831959374056225
5.618729096989966,1.5,8.428093645484953,24.523215623986314
5.819397993311037,1.5,8.72909698996656,26.274873882842485
6.0200668896321075,1.5,9.030100334448166,28.086934150624725
6.2207357859531776,1.5,9.331103678929772,29.95939642733304
6.421404682274248,1.5,9.632107023411377,31.892260712967428
6.622073578595318,1.5,9.933110367892983,33.88552700752789
6.822742474916388,1.5,10.234113712374588,35.93919531101443
7.023411371237458,1.5,10.535117056856194,38.053265623427045
7.224080267558529,1.5,10.836120401337801,40.22773794476574
